,box,txt,score
0,"[[159.0, 72.0], [402.0, 72.0], [402.0, 131.0], [159.0, 131.0]]",上海交通大学,0.8971946835517883
1,"[[568.0, 92.0], [888.0, 92.0], [888.0, 118.0], [568.0, 118.0]]",电子信息与电气工程学院,0.9585346579551697
2,"[[947.0, 101.0], [1100.0, 101.0], [1100.0, 135.0], [947.0, 135.0]]",学术报告,0.8895136117935181
3,"[[50.0, 201.0], [869.0, 205.0], [869.0, 247.0], [50.0, 243.0]]",Information Geometry and Statistical Mirror Symmetry,0.9471883773803711
4,"[[352.0, 314.0], [1067.0, 314.0], [1067.0, 339.0], [352.0, 339.0]]","Speaker:Prof.Jun Zhang,The University of Michigan,Ann Arbor",0.9310524463653564
5,"[[352.0, 351.0], [651.0, 351.0], [651.0, 376.0], [352.0, 376.0]]","Time:10:00Dec18th,2019",0.870373547077179
6,"[[351.0, 387.0], [666.0, 387.0], [666.0, 413.0], [351.0, 413.0]]","Venue:Room412,SEIEE-3",0.9183887243270874
7,"[[345.0, 419.0], [631.0, 423.0], [631.0, 454.0], [345.0, 450.0]]",Inviter: Prof. LU Baoliang,0.9267920851707458
8,"[[354.0, 459.0], [487.0, 459.0], [487.0, 491.0], [354.0, 491.0]]",Abstract:,0.8697379231452942
9,"[[406.0, 498.0], [1118.0, 498.0], [1118.0, 524.0], [406.0, 524.0]]",Information Geometry is the differential geometric study of the,0.8791687488555908
10,"[[349.0, 533.0], [1118.0, 535.0], [1118.0, 561.0], [349.0, 559.0]]","manifold of probability models, and promises to be a unifying",0.9420867562294006
11,"[[351.0, 570.0], [1116.0, 570.0], [1116.0, 596.0], [351.0, 596.0]]","geometricframeworkforinvestigatingstatisticalinference,",0.9262983798980713
12,"[[61.0, 607.0], [1127.0, 607.0], [1127.0, 633.0], [61.0, 633.0]]","information theory,machine learning,etc.Central to such manifolds are""divergencefunctions”",0.9356374144554138
13,"[[61.0, 646.0], [1118.0, 646.0], [1118.0, 672.0], [61.0, 672.0]]","(in place of distance) for measuring proximity of two points, for instance Kullback-Leibler",0.926129937171936
14,"[[61.0, 683.0], [1118.0, 683.0], [1118.0, 707.0], [61.0, 707.0]]","divergence,Bregman divergence,etc.Divergencefunctionsare tied togeneralized entropy (for",0.9308119416236877
15,"[[59.0, 719.0], [1116.0, 719.0], [1116.0, 743.0], [59.0, 743.0]]","instance,Tsallis entropy,Renyientropy)andcross-entropyfunctionswidelyused inmachine",0.9347689747810364
16,"[[59.0, 755.0], [1120.0, 755.0], [1120.0, 780.0], [59.0, 780.0]]",learning and information sciences. It turns out that divergence functions enjoy pleasant,0.9483762383460999
17,"[[55.0, 788.0], [1122.0, 786.0], [1122.0, 817.0], [55.0, 819.0]]","geometric properties- they induce what is called “statistical structure"" on a manifold M: a",0.9137671589851379
18,"[[59.0, 828.0], [1120.0, 828.0], [1120.0, 854.0], [59.0, 854.0]]","Riemannian metric g together with a pair of torsion-free affine connections D, D*, such that D",0.9315195083618164
19,"[[59.0, 865.0], [1115.0, 865.0], [1115.0, 891.0], [59.0, 891.0]]",and D* are both Codazzi coupled to g while being conjugate to each other. Divergence,0.9450100660324097
20,"[[59.0, 902.0], [1118.0, 902.0], [1118.0, 928.0], [59.0, 928.0]]",functions also induce a natural symplectic structure on the product manifold MxM for which the,0.9430853128433228
21,"[[59.0, 939.0], [1120.0, 939.0], [1120.0, 965.0], [59.0, 965.0]]",diagonal is M is both a statistical manifold and Lagrange submanifold. We have characterized,0.9263691902160645
22,"[[59.0, 976.0], [1118.0, 976.0], [1118.0, 1002.0], [59.0, 1002.0]]","the interaction of statistical structures and (para-)complex structure, generalizing the dually-flat",0.919971227645874
23,"[[57.0, 1009.0], [1118.0, 1011.0], [1118.0, 1037.0], [57.0, 1035.0]]","Hessian geometry. Recently, we show there is a kind of ""Statistical Mirror Symmetry on the",0.9306723475456238
24,"[[59.0, 1050.0], [1118.0, 1050.0], [1118.0, 1074.0], [59.0, 1074.0]]","tangent manifold of probability models,in surprising link to mirror symmetryextensively studied",0.9193864464759827
25,"[[56.0, 1079.0], [500.0, 1083.0], [500.0, 1114.0], [55.0, 1110.0]]",in string-theoretic (Calabi-Yau) setting.,0.945175290107727
26,"[[59.0, 1122.0], [118.0, 1122.0], [118.0, 1149.0], [59.0, 1149.0]]",Bio:,0.995732843875885
27,"[[101.0, 1160.0], [1122.0, 1160.0], [1122.0, 1186.0], [101.0, 1186.0]]",张俊，美国密西根大学心理学系终身教授、数学系终身教授，美国心理学协会(APS)会士，,0.9528966546058655
28,"[[61.0, 1199.0], [1113.0, 1199.0], [1113.0, 1225.0], [61.0, 1225.0]]",心理规律协会(Psychonomcis)会士。现任《信息几何学》InformationGeometry杂志创刊联合,0.93900465965271
29,"[[59.0, 1234.0], [1111.0, 1236.0], [1111.0, 1262.0], [59.0, 1260.0]]",主编。历任全美脑与行为科学协会联盟（FABBS）执行董事，数学心理学学会(Societyfor,0.9539602398872375
30,"[[55.0, 1271.0], [1116.0, 1269.0], [1116.0, 1301.0], [55.0, 1302.0]]",MathematicalPsychology)副主席、主席、执行委员会委员，《数学心理学》Journal of,0.946409285068512
31,"[[55.0, 1308.0], [1113.0, 1306.0], [1113.0, 1337.0], [55.0, 1339.0]]",MathematicalPsychology杂志副主编。1985年获得复旦大学理论物理学士，1992年获得加,0.9455699920654297
32,"[[59.0, 1345.0], [1111.0, 1347.0], [1111.0, 1373.0], [59.0, 1371.0]]",州大学伯克利分校神经生物学博士，并获聘于密西根大学任终身教职。在学术休假年度，张俊,0.9476356506347656
33,"[[63.0, 1385.0], [1111.0, 1385.0], [1111.0, 1411.0], [63.0, 1411.0]]",教授在澳洲墨尔本大学、法国科学院马赛所、加拿大滑铁卢大学、日本理研脑科学研究所、英,0.9619659781455994
34,"[[61.0, 1422.0], [1111.0, 1422.0], [1111.0, 1448.0], [61.0, 1448.0]]",国剑桥大学、美国哈佛大学等担任客座研究员、访问教授等席位。张俊教授主持的M3实验室,0.9489907026290894
35,"[[61.0, 1461.0], [1113.0, 1461.0], [1113.0, 1485.0], [61.0, 1485.0]]",（“Mind，Machine，Mathematics”）长期开展认知建模、机器学习、人机界面、类脑人工智能,0.9506197571754456
36,"[[63.0, 1500.0], [989.0, 1500.0], [989.0, 1524.0], [63.0, 1524.0]]",算法等研究，持续获得美国自然科学基金会、国防部等部门的科研经费支持和支撑。,0.9397226572036743
