,box,txt,score
0,"[[188.0, 70.0], [430.0, 70.0], [430.0, 127.0], [188.0, 127.0]]",上海交通大学,0.849820613861084
1,"[[596.0, 87.0], [919.0, 87.0], [919.0, 118.0], [596.0, 118.0]]",电子信息与电气工程学院,0.9293954372406006
2,"[[944.0, 96.0], [1100.0, 100.0], [1099.0, 137.0], [943.0, 133.0]]",学术报告,0.9468099474906921
3,"[[185.0, 129.0], [426.0, 129.0], [426.0, 153.0], [185.0, 153.0]]",SHANGHAI JIAOTONGUNIVERSITY,0.9710187315940857
4,"[[78.0, 184.0], [884.0, 184.0], [884.0, 216.0], [78.0, 216.0]]",Title: Estimating Search Models with PanelData: Identification and,0.9135058522224426
5,"[[943.0, 175.0], [996.0, 175.0], [996.0, 212.0], [943.0, 212.0]]",系,0.9958134293556213
6,"[[1056.0, 179.0], [1102.0, 179.0], [1102.0, 210.0], [1056.0, 210.0]]",列,0.7663523554801941
7,"[[139.0, 227.0], [696.0, 233.0], [695.0, 264.0], [138.0, 258.0]]",Re-Examination of PreferenceHeterogeneity,0.9528244733810425
8,"[[388.0, 288.0], [734.0, 288.0], [734.0, 314.0], [388.0, 314.0]]",Presenter:Prof.XiaojingDong,0.9421947598457336
9,"[[495.0, 327.0], [1115.0, 327.0], [1115.0, 351.0], [495.0, 351.0]]","AssociateProfessor,InformationSystemsArchitecture",0.9305493831634521
10,"[[493.0, 360.0], [969.0, 363.0], [969.0, 389.0], [493.0, 386.0]]","Research Division, Santa Clara University",0.9289309978485107
11,"[[384.0, 402.0], [886.0, 406.0], [886.0, 437.0], [384.0, 433.0]]","Talk Time: Nov 21st, 3 PM-4 PM, Thursday",0.9044815897941589
12,"[[386.0, 448.0], [659.0, 448.0], [659.0, 472.0], [386.0, 472.0]]",Location:SEIEE3-306,0.9481410980224609
13,"[[386.0, 489.0], [543.0, 493.0], [542.0, 526.0], [385.0, 522.0]]",Abstract:,0.9908998012542725
14,"[[439.0, 539.0], [1116.0, 539.0], [1116.0, 565.0], [439.0, 565.0]]","In online shopping platform, not only the purchase",0.8959171175956726
15,"[[386.0, 577.0], [1116.0, 577.0], [1116.0, 603.0], [386.0, 603.0]]","information, but also the clicked pages can be conveniently",0.9027295112609863
16,"[[386.0, 618.0], [1118.0, 618.0], [1118.0, 644.0], [386.0, 644.0]]",recorded. It is a common practice to examine only those,0.9583667516708374
17,"[[63.0, 655.0], [1120.0, 655.0], [1120.0, 686.0], [63.0, 686.0]]","purchased when inferring the consumer's preference and tastes. In this study, we proposed",0.9572670459747314
18,"[[63.0, 697.0], [1118.0, 697.0], [1118.0, 723.0], [63.0, 723.0]]",a structural model approach to dive deeper into such question leveraging the click stream,0.9325683116912842
19,"[[63.0, 738.0], [1118.0, 738.0], [1118.0, 762.0], [63.0, 762.0]]",data.A structural model approachallows us to examinethe decisionprocess at individual,0.9126825928688049
20,"[[63.0, 777.0], [1116.0, 777.0], [1116.0, 801.0], [63.0, 801.0]]","consumer level,and obtain inferences foreach,including his/her preference and search",0.9055822491645813
21,"[[63.0, 817.0], [1118.0, 817.0], [1118.0, 843.0], [63.0, 843.0]]",cost. Using a unique data-set from an online retailer that contains panel information on,0.9219912886619568
22,"[[65.0, 897.0], [1115.0, 897.0], [1115.0, 922.0], [65.0, 922.0]]","when ignoring search costs,we overestimate consumerspreferenceheterogeneity by",0.9331563115119934
23,"[[61.0, 932.0], [1120.0, 933.0], [1120.0, 965.0], [61.0, 963.0]]","40%. Using the example of personalized pricing, we show that this bias has important",0.9379191398620605
24,"[[63.0, 976.0], [1118.0, 976.0], [1118.0, 1002.0], [63.0, 1002.0]]","consequences fortargeted marketing.Finally,we show that panel dimension of the datais",0.9217129945755005
25,"[[63.0, 1053.0], [133.0, 1053.0], [133.0, 1087.0], [63.0, 1087.0]]",Bio:,0.9495670795440674
26,"[[116.0, 1094.0], [1118.0, 1094.0], [1118.0, 1120.0], [116.0, 1120.0]]",Prof. Xiaojing Dong is a tenured Associate Professor of Marketing and Business,0.9027355909347534
27,"[[65.0, 1135.0], [1116.0, 1135.0], [1116.0, 1159.0], [65.0, 1159.0]]","Analytics,and the Faculty Director of Master of Science inBusiness Analytics at Santa",0.9115320444107056
28,"[[65.0, 1173.0], [1116.0, 1173.0], [1116.0, 1199.0], [65.0, 1199.0]]","Clara University.Her research area applies Data Analytics techniques to develop model,",0.9445788264274597
29,"[[63.0, 1214.0], [1116.0, 1214.0], [1116.0, 1238.0], [63.0, 1238.0]]","examining how marketing actions influence customer behaviors, and therefore provides",0.917368471622467
30,"[[63.0, 1254.0], [1116.0, 1254.0], [1116.0, 1280.0], [63.0, 1280.0]]",suggestions on improving Marketing and Business decisions. Her studies span multiple,0.9344773888587952
31,"[[63.0, 1293.0], [1116.0, 1293.0], [1116.0, 1319.0], [63.0, 1319.0]]","industries, including social network, online retail, pharmaceutical, travel, among many",0.9325671792030334
32,"[[63.0, 1332.0], [1116.0, 1332.0], [1116.0, 1358.0], [63.0, 1358.0]]",others.Herpapers have appeared intop academic journals in business and top computer,0.9002124071121216
33,"[[59.0, 1369.0], [1116.0, 1371.0], [1116.0, 1402.0], [59.0, 1400.0]]","science conferences in Big Data and Al. With participations of ten top companies (Google,",0.9456843733787537
34,"[[65.0, 1413.0], [1118.0, 1413.0], [1118.0, 1437.0], [65.0, 1437.0]]","Adobe,Palantir,etc.)in theSilicon Valley,Prof.Dong founded a new Master of Science",0.9079853892326355
35,"[[65.0, 1452.0], [1115.0, 1452.0], [1115.0, 1478.0], [65.0, 1478.0]]",program in Business Analytics at the Leavey School of Business at Santa Clara University.,0.9086220264434814
36,"[[66.0, 1492.0], [1116.0, 1492.0], [1116.0, 1518.0], [66.0, 1518.0]]","The program has attracted students from top schools globally, as well as attentions from",0.9006935358047485
37,"[[61.0, 1533.0], [1118.0, 1531.0], [1118.0, 1557.0], [61.0, 1559.0]]",major companies in seeking talents who can leverage big data and Al technologies. For,0.9352644085884094
38,"[[63.0, 1572.0], [836.0, 1572.0], [836.0, 1598.0], [63.0, 1598.0]]","more information,please visit her website:https:/xjdong.github.io/.",0.9322719573974609
