,box,txt,score
0,"[[790.0, 11.0], [1064.0, 11.0], [1064.0, 46.0], [790.0, 46.0]]",信息科学技术学院,0.9631655216217041
1,"[[792.0, 44.0], [961.0, 44.0], [961.0, 62.0], [792.0, 62.0]]",SCHOOLOP ELECTEONICS ENGINEERING,0.8507586717605591
2,"[[963.0, 46.0], [1039.0, 46.0], [1039.0, 58.0], [963.0, 58.0]]",NDCOMPUTERSCI,0.9389846324920654
3,"[[432.0, 131.0], [622.0, 131.0], [622.0, 209.0], [432.0, 209.0]]",席谈,0.9913569092750549
4,"[[121.0, 257.0], [693.0, 257.0], [693.0, 337.0], [121.0, 337.0]]",青年学术沙龙,0.8093705773353577
5,"[[712.0, 290.0], [869.0, 295.0], [867.0, 351.0], [710.0, 347.0]]",第七期,0.9780239462852478
6,"[[529.0, 406.0], [1053.0, 406.0], [1053.0, 496.0], [529.0, 496.0]]",迈向开放环,0.9645518064498901
7,"[[535.0, 533.0], [1046.0, 533.0], [1046.0, 618.0], [535.0, 618.0]]",境汽化机器,0.9069995880126953
8,"[[684.0, 641.0], [907.0, 646.0], [904.0, 754.0], [681.0, 749.0]]",学习,0.8529606461524963
9,"[[702.0, 806.0], [885.0, 806.0], [885.0, 898.0], [702.0, 898.0]]",时间,0.9953529834747314
10,"[[185.0, 831.0], [357.0, 831.0], [357.0, 895.0], [185.0, 895.0]]",优尚航,0.816484272480011
11,"[[32.0, 932.0], [556.0, 932.0], [556.0, 973.0], [32.0, 973.0]]",北京大学计算机学院研究员,0.9807175993919373
12,"[[629.0, 925.0], [957.0, 925.0], [957.0, 980.0], [629.0, 980.0]]",3月3日（周五,0.8575826287269592
13,"[[30.0, 983.0], [597.0, 985.0], [597.0, 1026.0], [30.0, 1024.0]]",助理教授、博士生导师、博雅,0.9529753923416138
14,"[[716.0, 1005.0], [872.0, 1005.0], [872.0, 1068.0], [716.0, 1068.0]]",19:00,0.8882315754890442
15,"[[32.0, 1038.0], [559.0, 1037.0], [560.0, 1074.0], [32.0, 1076.0]]",青年学者。2018年博士毕业,0.9138913750648499
16,"[[36.0, 1091.0], [460.0, 1091.0], [460.0, 1129.0], [36.0, 1129.0]]",于美国卡内基梅隆大学,0.9204216003417969
17,"[[703.0, 1123.0], [885.0, 1123.0], [885.0, 1208.0], [703.0, 1208.0]]",地点,0.9606871008872986
18,"[[30.0, 1141.0], [561.0, 1141.0], [561.0, 1182.0], [30.0, 1182.0]]",2020年初加几加州大学伯克,0.9136162400245667
19,"[[30.0, 1196.0], [581.0, 1196.0], [581.0, 1237.0], [30.0, 1237.0]]",利分校AlResearchLab从,0.8759965896606445
20,"[[616.0, 1237.0], [982.0, 1233.0], [983.0, 1295.0], [617.0, 1299.0]]",北京大学,0.9749127626419067
21,"[[30.0, 1249.0], [591.0, 1247.0], [592.0, 1285.0], [30.0, 1286.0]]",事博士后研究。研究方向为开,0.9037479162216187
22,"[[30.0, 1297.0], [592.0, 1301.0], [591.0, 1343.0], [30.0, 1339.0]]",放环境泛化机器学习理论与系,0.9740890264511108
23,"[[625.0, 1315.0], [954.0, 1315.0], [954.0, 1377.0], [625.0, 1377.0]]",理科二号楼,0.9243485331535339
24,"[[28.0, 1352.0], [591.0, 1348.0], [592.0, 1391.0], [29.0, 1395.0]]",统，在计算机视觉和类脑计算,0.94498211145401
25,"[[32.0, 1405.0], [599.0, 1405.0], [599.0, 1446.0], [32.0, 1446.0]]",方向拥有丰富研究经验。在人,0.9150303602218628
26,"[[581.0, 1400.0], [959.0, 1400.0], [959.0, 1455.0], [581.0, 1455.0]]",2129报告厅,0.8815550208091736
27,"[[34.0, 1458.0], [593.0, 1456.0], [593.0, 1497.0], [34.0, 1499.0]]",工智能顶级期刊和会议上发表,0.9339636564254761
28,"[[30.0, 1511.0], [584.0, 1511.0], [584.0, 1552.0], [30.0, 1552.0]]",论文50余篇，并申请5项美中,0.9408383369445801
29,"[[32.0, 1565.0], [597.0, 1565.0], [597.0, 1605.0], [32.0, 1605.0]]",专利。荣获世界人工智能顶级,0.9778951406478882
30,"[[30.0, 1618.0], [590.0, 1620.0], [590.0, 1657.0], [30.0, 1655.0]]",会议AAAI，2021最佳论文奖,0.923488438129425
