,box,txt,score
0,"[[275.0, 67.0], [483.0, 67.0], [483.0, 122.0], [275.0, 122.0]]",第期,0.8810204267501831
1,"[[63.0, 146.0], [697.0, 149.0], [696.0, 279.0], [62.0, 276.0]]",知存讲座,0.9038287401199341
2,"[[74.0, 291.0], [685.0, 291.0], [685.0, 340.0], [74.0, 340.0]]",信息科学技术学院,0.983451247215271
3,"[[166.0, 403.0], [591.0, 403.0], [591.0, 434.0], [166.0, 434.0]]",百度AI人才战略与实践,0.8948119878768921
4,"[[172.0, 494.0], [549.0, 495.0], [549.0, 520.0], [172.0, 519.0]]",时间：9月16日（周五）19点,0.9219656586647034
5,"[[174.0, 540.0], [488.0, 540.0], [488.0, 565.0], [174.0, 565.0]]",地点：北京大学理教208,0.9843430519104004
6,"[[474.0, 628.0], [572.0, 628.0], [572.0, 670.0], [474.0, 670.0]]",刘磊,0.9748309850692749
7,"[[51.0, 664.0], [69.0, 664.0], [69.0, 736.0], [51.0, 736.0]]",主讲人简介,0.9949522018432617
8,"[[387.0, 724.0], [695.0, 724.0], [695.0, 739.0], [387.0, 739.0]]",百度公司高校合作部高级经理，中国计,0.9285380244255066
9,"[[351.0, 749.0], [697.0, 749.0], [697.0, 764.0], [351.0, 764.0]]",算机学会（CCF）高级会员，全国高等院,0.9340257048606873
10,"[[351.0, 773.0], [697.0, 773.0], [697.0, 791.0], [351.0, 791.0]]",校计算机基础教育研究会（AFCEC）教育,0.9860752820968628
11,"[[350.0, 798.0], [698.0, 798.0], [698.0, 816.0], [350.0, 816.0]]",创新与产教融合专委会委员，多所高校企,0.9110584259033203
12,"[[350.0, 824.0], [698.0, 824.0], [698.0, 842.0], [350.0, 842.0]]",业导师。在互联网、大数据、人工智能等,0.9746775031089783
13,"[[349.0, 849.0], [696.0, 849.0], [696.0, 867.0], [349.0, 867.0]]",领域发表论文十余篇。长期负责产学研合,0.9496039152145386
14,"[[348.0, 874.0], [698.0, 874.0], [698.0, 892.0], [348.0, 892.0]]",作，策划与管理品牌项目，促成数以百计,0.9914571046829224
15,"[[347.0, 900.0], [698.0, 900.0], [698.0, 918.0], [347.0, 918.0]]",的战略合作和深度合作，助力人才培养和,0.9169299006462097
16,"[[346.0, 922.0], [507.0, 924.0], [507.0, 945.0], [346.0, 943.0]]",产教融合生态共建。,0.90088951587677
