,box,txt,score
0,"[[92.0, 39.0], [281.0, 39.0], [281.0, 66.0], [92.0, 66.0]]",信息科学技术学院,0.9810831546783447
1,"[[107.0, 81.0], [157.0, 81.0], [157.0, 106.0], [107.0, 106.0]]",成立,0.994137167930603
2,"[[169.0, 81.0], [208.0, 81.0], [208.0, 106.0], [169.0, 106.0]]",10,0.8465630412101746
3,"[[215.0, 81.0], [266.0, 78.0], [267.0, 103.0], [217.0, 106.0]]",周年,0.901399552822113
4,"[[30.0, 119.0], [321.0, 119.0], [321.0, 133.0], [30.0, 133.0]]",北京大学信息技术与信息化家进标,0.8632839322090149
5,"[[5.0, 148.0], [343.0, 148.0], [343.0, 161.0], [5.0, 161.0]]","ICT for a Smarter Planet:Challenges,Enablers,and Opportunities",0.8759109377861023
6,"[[117.0, 167.0], [244.0, 167.0], [244.0, 177.0], [117.0, 177.0]]","PreEDr.Sumi Helal,Ueiversity orFlerida",0.7618424296379089
7,"[[118.0, 176.0], [186.0, 176.0], [186.0, 186.0], [118.0, 186.0]]",10月15日下午200,0.8891909122467041
8,"[[119.0, 185.0], [208.0, 185.0], [208.0, 195.0], [119.0, 195.0]]",北京大学理科2号楼2736,0.9082704186439514
9,"[[58.0, 203.0], [91.0, 203.0], [91.0, 213.0], [58.0, 213.0]]",Abstract,0.8691372871398926
10,"[[70.0, 216.0], [208.0, 216.0], [208.0, 223.0], [70.0, 223.0]]",RecadrmcexinPerraiseConpuirgdtelig,0.6747137308120728
11,"[[58.0, 352.0], [120.0, 353.0], [120.0, 364.0], [58.0, 363.0]]",ShortBiography,0.9843837022781372
12,"[[254.0, 399.0], [288.0, 399.0], [288.0, 406.0], [254.0, 406.0]]",in thefield ef,0.6187645792961121
13,"[[82.0, 447.0], [112.0, 447.0], [112.0, 454.0], [82.0, 454.0]]",etheall,0.6394444704055786
