,box,txt,score
0,"[[62.0, 27.0], [542.0, 27.0], [542.0, 41.0], [62.0, 41.0]]",北京大学海外名家讲学暨北京大学信息科学技术名家讲坛,0.9212956428527832
1,"[[58.0, 46.0], [542.0, 46.0], [542.0, 60.0], [58.0, 60.0]]",北京大学国际合作部、高可信软件技术教育部重点实验室（北京大学）主办,0.9435314536094666
2,"[[66.0, 94.0], [526.0, 94.0], [526.0, 124.0], [66.0, 124.0]]",建设信息时代的科学基础,0.9354448914527893
3,"[[47.0, 134.0], [544.0, 137.0], [544.0, 158.0], [47.0, 155.0]]",Building a Science Base forthe InformationAge,0.9254449605941772
4,"[[60.0, 184.0], [384.0, 184.0], [384.0, 198.0], [60.0, 198.0]]",约翰霍普克罗夫特（康奈尔大学、图灵奖得主）,0.9178475141525269
5,"[[61.0, 205.0], [394.0, 205.0], [394.0, 219.0], [61.0, 219.0]]","John Hopcroft (Cornell University, Turing Laureate)",0.8893884420394897
6,"[[64.0, 246.0], [381.0, 246.0], [381.0, 260.0], [64.0, 260.0]]",时间：2012年5月15日星期二下午2点至3点半,0.9390131831169128
7,"[[65.0, 267.0], [286.0, 267.0], [286.0, 281.0], [65.0, 281.0]]",地点：陈守仁国际研究中心中馆,0.956559956073761
8,"[[110.0, 289.0], [369.0, 289.0], [369.0, 302.0], [110.0, 302.0]]",（博雅塔西南方向一教与未名湖之间）,0.9250704050064087
9,"[[76.0, 324.0], [382.0, 324.0], [382.0, 338.0], [76.0, 338.0]]",摘要：计算机科学正在经历一场基础性变革,0.9475935101509094
10,"[[43.0, 342.0], [549.0, 343.0], [549.0, 360.0], [43.0, 359.0]]",在过去四十年里，该领域关注的是让计算机能用。程序设计语言、编译,0.9166198372840881
11,"[[45.0, 360.0], [548.0, 360.0], [548.0, 377.0], [45.0, 377.0]]",程序、操作系统、数据结构与算法等是关注的焦点。这些东西依然是重,0.9505836367607117
12,"[[43.0, 376.0], [549.0, 377.0], [549.0, 394.0], [43.0, 393.0]]",要的话题，但由于计算与通信的融合、社交网络的出现、大量的数字化,0.9263660311698914
13,"[[44.0, 394.0], [548.0, 393.0], [548.0, 409.0], [44.0, 410.0]]",信息等，关注的焦点正移向应用，比如从大数据集和网络结构中提取信,0.9606470465660095
14,"[[44.0, 410.0], [548.0, 410.0], [548.0, 427.0], [44.0, 427.0]]",息。本讲座将概括展望未来，并介绍为了支撑计算机科学中这些新的方,0.9723508358001709
15,"[[45.0, 429.0], [229.0, 429.0], [229.0, 442.0], [45.0, 442.0]]",向而正在建设的科学基础。,0.9889764785766602
16,"[[43.0, 446.0], [547.0, 447.0], [547.0, 464.0], [43.0, 463.0]]",Abstract: Computer science is undergoing a fundamental change.,0.9400595426559448
17,"[[42.0, 465.0], [549.0, 466.0], [549.0, 480.0], [42.0, 479.0]]",Overthe last 4o yearsthefield was concerned with making computers,0.9168224334716797
18,"[[42.0, 482.0], [549.0, 483.0], [549.0, 496.0], [42.0, 495.0]]","useful.Focus was on programming languages,compilers,operating",0.9159024953842163
19,"[[43.0, 499.0], [549.0, 499.0], [549.0, 512.0], [43.0, 512.0]]","systems,data structures and algorithms.These are still important",0.9244182705879211
20,"[[42.0, 516.0], [249.0, 516.0], [249.0, 529.0], [42.0, 529.0]]",topics but with the mergin,0.9409641623497009
21,"[[286.0, 516.0], [549.0, 516.0], [549.0, 529.0], [286.0, 529.0]]","computing and communication,the",0.9414624571800232
22,"[[43.0, 534.0], [187.0, 533.0], [187.0, 544.0], [43.0, 545.0]]",emergence of social,0.8971185088157654
23,"[[296.0, 533.0], [547.0, 533.0], [547.0, 543.0], [296.0, 543.0]]",thelargeamountofinformationin,0.9221400618553162
24,"[[44.0, 551.0], [203.0, 551.0], [203.0, 561.0], [44.0, 561.0]]","digitalform,focusis",0.9335008859634399
25,"[[275.0, 550.0], [546.0, 550.0], [546.0, 563.0], [275.0, 563.0]]",applications suchas extractinginfor-,0.9448859691619873
26,"[[42.0, 566.0], [549.0, 565.0], [549.0, 578.0], [42.0, 579.0]]",mation from large data set and structure of networks. This talk will,0.8814684152603149
27,"[[42.0, 582.0], [549.0, 581.0], [549.0, 595.0], [42.0, 596.0]]",give a brief vision of the future and then an introduction to the,0.9013482332229614
28,"[[43.0, 599.0], [549.0, 599.0], [549.0, 613.0], [43.0, 613.0]]",science base that is forming to support these new directions in,0.8953361511230469
29,"[[43.0, 616.0], [177.0, 617.0], [176.0, 630.0], [43.0, 629.0]]",computer science.,0.9334787130355835
