,box,txt,score
0,"[[789.0, 11.0], [1064.0, 11.0], [1064.0, 46.0], [789.0, 46.0]]",信息科学技术学院,0.8808211088180542
1,"[[433.0, 129.0], [622.0, 129.0], [622.0, 215.0], [433.0, 215.0]]",席谈,0.9975353479385376
2,"[[105.0, 145.0], [242.0, 145.0], [242.0, 213.0], [105.0, 213.0]]",信科,0.9936951398849487
3,"[[121.0, 259.0], [693.0, 259.0], [693.0, 339.0], [121.0, 339.0]]",青年学术沙龙,0.8649305701255798
4,"[[711.0, 294.0], [867.0, 294.0], [867.0, 351.0], [711.0, 351.0]]",第九期,0.8968417048454285
5,"[[568.0, 396.0], [1047.0, 405.0], [1045.0, 536.0], [566.0, 528.0]]",6G通信,0.9620856642723083
6,"[[616.0, 540.0], [1047.0, 547.0], [1045.0, 681.0], [614.0, 675.0]]",与感知,0.9923754334449768
7,"[[684.0, 773.0], [862.0, 773.0], [862.0, 860.0], [684.0, 860.0]]",时间,0.995810866355896
8,"[[597.0, 890.0], [961.0, 890.0], [961.0, 945.0], [597.0, 945.0]]",3月31日（周五）,0.8632181286811829
9,"[[696.0, 972.0], [853.0, 972.0], [853.0, 1030.0], [696.0, 1030.0]]",19:00,0.9029397964477539
10,"[[172.0, 1023.0], [380.0, 1023.0], [380.0, 1092.0], [172.0, 1092.0]]",邸博雅,0.9921314120292664
11,"[[684.0, 1131.0], [867.0, 1131.0], [867.0, 1225.0], [684.0, 1225.0]]",地点,0.7943203449249268
12,"[[55.0, 1216.0], [453.0, 1212.0], [453.0, 1273.0], [55.0, 1277.0]]",电子学院研究,0.7919983863830566
13,"[[595.0, 1245.0], [971.0, 1241.0], [972.0, 1310.0], [596.0, 1314.0]]",北京大学,0.9098464846611023
14,"[[55.0, 1292.0], [453.0, 1296.0], [453.0, 1356.0], [55.0, 1353.0]]",员、博士生导,0.9574427008628845
15,"[[606.0, 1324.0], [940.0, 1328.0], [939.0, 1392.0], [605.0, 1388.0]]",理科二号楼,0.8895455598831177
16,"[[57.0, 1378.0], [455.0, 1378.0], [455.0, 1438.0], [57.0, 1438.0]]",师，研究方向,0.9394357800483704
17,"[[671.0, 1408.0], [881.0, 1408.0], [881.0, 1470.0], [671.0, 1470.0]]",2129,0.954590916633606
18,"[[60.0, 1463.0], [476.0, 1463.0], [476.0, 1518.0], [60.0, 1518.0]]",为6G无线传输,0.9701498746871948
19,"[[57.0, 1541.0], [391.0, 1541.0], [391.0, 1601.0], [57.0, 1601.0]]",技术与感知,0.9735368490219116
