,box,txt,score
0,"[[93.0, 42.0], [281.0, 42.0], [281.0, 66.0], [93.0, 66.0]]",信息科学技术学院,0.9277952909469604
1,"[[106.0, 81.0], [156.0, 78.0], [158.0, 104.0], [107.0, 107.0]]",成立,0.9948011636734009
2,"[[170.0, 81.0], [207.0, 81.0], [207.0, 104.0], [170.0, 104.0]]",10,0.8825985193252563
3,"[[217.0, 80.0], [266.0, 80.0], [266.0, 105.0], [217.0, 105.0]]",周年,0.8858733177185059
4,"[[29.0, 117.0], [320.0, 117.0], [320.0, 134.0], [29.0, 134.0]]",北京大学信息技术与信息化务家讲坛,0.9155681133270264
5,"[[34.0, 147.0], [313.0, 147.0], [313.0, 160.0], [34.0, 160.0]]",Securing Data in the Cloud-Challenges and Research,0.9379781484603882
6,"[[117.0, 166.0], [240.0, 166.0], [240.0, 176.0], [117.0, 176.0]]","Prod,Dr.Elisa Bertito, Purdue Umiversity",0.7907112836837769
7,"[[117.0, 181.0], [208.0, 181.0], [208.0, 194.0], [117.0, 194.0]]",北京大学理科2号楼2736,0.9125262498855591
8,"[[119.0, 177.0], [184.0, 177.0], [184.0, 184.0], [119.0, 184.0]]",10月1日下午2:00,0.8523195385932922
9,"[[58.0, 197.0], [91.0, 197.0], [91.0, 207.0], [58.0, 207.0]]",Abstract,0.9311026334762573
10,"[[58.0, 232.0], [92.0, 231.0], [93.0, 239.0], [58.0, 240.0]]",rapadlyadag,0.727479875087738
11,"[[60.0, 381.0], [89.0, 381.0], [89.0, 388.0], [60.0, 388.0]]",ShortB,0.8746387362480164
